query_id,topic,urgency_class,query_text,source_citation,signal,paired_reassure_doc_id,paired_alarm_doc_id
pph_01,pph,urgent,I delivered an hour ago and I'm soaking two pads every hour,"WHO_PPH_2025: ""objectively measured blood loss of >=500 mL... within 24 hours after birth""","volume >=500mL-consistent, non-resolving",NHS_POSTNATAL,WHO_PPH_2025
pph_02,pph,urgent,I gave birth this morning and I've already gone through six pads,"WHO_PPH_2025: ""objectively measured blood loss of >=500 mL... within 24 hours after birth""","volume >=500mL-consistent, non-resolving",NHS_POSTNATAL,WHO_PPH_2025
pph_03,pph,urgent,"I'm still bleeding heavily twelve hours after the birth, soaking a pad in under an hour","WHO_PPH_2025: ""objectively measured blood loss of >=500 mL... within 24 hours after birth""","volume >=500mL-consistent, non-resolving",NHS_POSTNATAL,WHO_PPH_2025
pph_04,pph,urgent,It's been two hours since delivery and I'm passing large clots with every pad change,"WHO_PPH_2025: ""objectively measured blood loss of >=500 mL... within 24 hours after birth""","volume >=500mL-consistent, non-resolving",NHS_POSTNATAL,WHO_PPH_2025
pph_05,pph,urgent,the blood is soaking through everything and it's not slowing down,"WHO_PPH_2025: ""objectively measured blood loss of >=500 mL... within 24 hours after birth""","volume >=500mL-consistent (colloquial), non-resolving trajectory",NHS_POSTNATAL,WHO_PPH_2025
pph_06,pph,urgent,I keep having to change everything because it just keeps coming,"WHO_PPH_2025: ""objectively measured blood loss of >=500 mL... within 24 hours after birth""","volume >=500mL-consistent (colloquial), non-resolving trajectory",NHS_POSTNATAL,WHO_PPH_2025
pph_07,pph,urgent,I feel dizzy and the bleeding hasn't let up since I got home,"WHO_PPH_2025: ""objectively measured blood loss of >=500 mL... within 24 hours after birth""","volume >=500mL-consistent (colloquial), non-resolving trajectory",NHS_POSTNATAL,WHO_PPH_2025
pph_08,pph,urgent,it's been hours and I still can't keep up with how much there is,"WHO_PPH_2025: ""objectively measured blood loss of >=500 mL... within 24 hours after birth""","volume >=500mL-consistent (colloquial), non-resolving trajectory",NHS_POSTNATAL,WHO_PPH_2025
pph_09,pph,routine,It's day three after birth and my bleeding has gone from bright red to more of a pink-brown colour,"NHS_POSTNATAL: ""You'll bleed from your vagina after the birth. It will be quite heavy at first... will carry on for a few weeks... gradually turn a brownish colour and decrease""","within normal lochia decrease pattern, no volume/trajectory red flag",NHS_POSTNATAL,WHO_PPH_2025
pph_10,pph,routine,"I'm ten days postpartum and only spotting a little now, is that normal","NHS_POSTNATAL: ""You'll bleed from your vagina after the birth. It will be quite heavy at first... will carry on for a few weeks... gradually turn a brownish colour and decrease""","within normal lochia decrease pattern, no volume/trajectory red flag",NHS_POSTNATAL,WHO_PPH_2025
hypertension_01,hypertension,urgent,My blood pressure reading at home was 150 over 95 and I have a bad headache,"WHO_PRE_2011: ""persistent diastolic blood pressure >90 mm Hg"" + ""substantial proteinuria (>0.3 g/24h)""","moderate: diastolic>90-consistent + headache, no organ-involvement marker; EXPLICIT phrasing",NHS_SWELLING,WHO_PRE_2011
hypertension_02,hypertension,urgent,"I checked my blood pressure and it read 148 over 92, plus I've had a headache since this morning","WHO_PRE_2011: ""persistent diastolic blood pressure >90 mm Hg"" + ""substantial proteinuria (>0.3 g/24h)""","moderate: diastolic>90-consistent + headache, no organ-involvement marker; EXPLICIT phrasing",NHS_SWELLING,WHO_PRE_2011
hypertension_03,hypertension,urgent,My blood pressure's been running high today and I've got this headache that won't quit,"WHO_PRE_2011: ""persistent diastolic blood pressure >90 mm Hg"" + ""substantial proteinuria (>0.3 g/24h)""","moderate: diastolic>90-consistent + headache, no organ-involvement marker; COLLOQUIAL phrasing",NHS_SWELLING,WHO_PRE_2011
hypertension_04,hypertension,urgent,I feel like my blood pressure's up again and my head's been aching all day,"WHO_PRE_2011: ""persistent diastolic blood pressure >90 mm Hg"" + ""substantial proteinuria (>0.3 g/24h)""","moderate: diastolic>90-consistent + headache, no organ-involvement marker; COLLOQUIAL phrasing",NHS_SWELLING,WHO_PRE_2011
hypertension_05,hypertension,urgent,My blood pressure was 165 over 110 and I keep seeing flashing lights,"WHO_PRE_2011: ""severe when... severe hypertension, heavy proteinuria or substantial maternal organ dysfunction"" + ACOG_POSTPARTUM_CONDITIONS: ""changes in vision (blurring, light sensitivity, seeing spots)"", ""swelling of the face or hands""",severe: elevated BP + visual disturbance (organ-involvement marker); EXPLICIT phrasing,NHS_SWELLING,WHO_PRE_2011
hypertension_06,hypertension,urgent,My reading was 170 over 115 and my vision keeps going blurry,"WHO_PRE_2011: ""severe when... severe hypertension, heavy proteinuria or substantial maternal organ dysfunction"" + ACOG_POSTPARTUM_CONDITIONS: ""changes in vision (blurring, light sensitivity, seeing spots)"", ""swelling of the face or hands""",severe: elevated BP + visual disturbance (organ-involvement marker); EXPLICIT phrasing,NHS_SWELLING,WHO_PRE_2011
hypertension_07,hypertension,urgent,"my head's been pounding for hours, I can't see properly, and my face is so swollen I barely recognize myself","WHO_PRE_2011: ""severe when... severe hypertension, heavy proteinuria or substantial maternal organ dysfunction"" + ACOG_POSTPARTUM_CONDITIONS: ""changes in vision (blurring, light sensitivity, seeing spots)"", ""swelling of the face or hands""",severe pre-eclampsia symptom cluster: visual disturbance + facial/hand edema; no BP stated; COLLOQUIAL phrasing,NHS_SWELLING,WHO_PRE_2011
hypertension_08,hypertension,urgent,everything looks spotty when I stand up and my hands are so puffy I can't make a fist,"WHO_PRE_2011: ""severe when... severe hypertension, heavy proteinuria or substantial maternal organ dysfunction"" + ACOG_POSTPARTUM_CONDITIONS: ""changes in vision (blurring, light sensitivity, seeing spots)"", ""swelling of the face or hands""",severe pre-eclampsia symptom cluster: visual disturbance + facial/hand edema; no BP stated; COLLOQUIAL phrasing,NHS_SWELLING,WHO_PRE_2011
hypertension_09,hypertension,routine,"My ankles are a bit swollen by the end of the day, is that normal","NHS_SWELLING: ""It's normal to get some swelling in pregnancy""","ordinary dependent swelling, resolves overnight, no headache/visual/hand-swelling red flag",NHS_SWELLING,WHO_PRE_2011
hypertension_10,hypertension,routine,"My feet are puffy by the end of the day but fine in the morning, nothing else feels off","NHS_SWELLING: ""It's normal to get some swelling in pregnancy""","ordinary dependent swelling, resolves overnight, no headache/visual/hand-swelling red flag",NHS_SWELLING,WHO_PRE_2011
labour_01,labour,urgent,My contractions are 8 minutes apart now and they really hurt,"WHO_INTRAPARTUM_2018: latent phase onset = ""at least one painful uterine contraction every 8-10 minutes""","interval ~8-10min (explicit) + painful, matches latent-phase onset",NHS_LABOUR_SIGNS,WHO_INTRAPARTUM_2018
labour_02,labour,urgent,The pains are 9 minutes apart and getting stronger each time,"WHO_INTRAPARTUM_2018: latent phase onset = ""at least one painful uterine contraction every 8-10 minutes""","interval ~8-10min (explicit) + painful, matches latent-phase onset",NHS_LABOUR_SIGNS,WHO_INTRAPARTUM_2018
labour_03,labour,urgent,I'm having a contraction every 8 to 10 minutes and I have to breathe through each one,"WHO_INTRAPARTUM_2018: latent phase onset = ""at least one painful uterine contraction every 8-10 minutes""","interval ~8-10min (explicit) + painful, matches latent-phase onset",NHS_LABOUR_SIGNS,WHO_INTRAPARTUM_2018
labour_04,labour,urgent,"My contractions have settled into a pattern about 9 minutes apart, each one painful","WHO_INTRAPARTUM_2018: latent phase onset = ""at least one painful uterine contraction every 8-10 minutes""","interval ~8-10min (explicit) + painful, matches latent-phase onset",NHS_LABOUR_SIGNS,WHO_INTRAPARTUM_2018
labour_05,labour,urgent,"the pains are coming regularly now, about three times every half hour, and I have to stop and breathe through them","WHO_INTRAPARTUM_2018: latent phase onset = ""at least one painful uterine contraction every 8-10 minutes""","interval ~10min (colloquial arithmetic verified: ~3x/30min=10min) + painful, matches latent-phase onset",NHS_LABOUR_SIGNS,WHO_INTRAPARTUM_2018
labour_06,labour,urgent,"it's happening like clockwork now, a few times every half hour, and I can't talk through it anymore","WHO_INTRAPARTUM_2018: latent phase onset = ""at least one painful uterine contraction every 8-10 minutes""","interval ~10min (colloquial arithmetic verified: ~3x/30min=10min) + painful, matches latent-phase onset",NHS_LABOUR_SIGNS,WHO_INTRAPARTUM_2018
labour_07,labour,urgent,I have to stop what I'm doing every ten minutes or so because it really hurts,"WHO_INTRAPARTUM_2018: latent phase onset = ""at least one painful uterine contraction every 8-10 minutes""","interval ~10min (direct statement, not arithmetic-derived) + painful, matches latent-phase onset",NHS_LABOUR_SIGNS,WHO_INTRAPARTUM_2018
labour_08,labour,urgent,"the tightening keeps coming back at what feels like the same gap each time, and it's strong enough to stop me in my tracks","WHO_INTRAPARTUM_2018: latent phase onset = ""at least one painful uterine contraction every 8-10 minutes""","regular + painful, interval unstated; regularity distinguishes from Braxton Hicks per NHS_LABOUR_SIGNS -- weaker signal than the other three labour-urgent-vague queries, kept deliberately to test a genuinely harder case, not mislabeled as equivalent to them",NHS_LABOUR_SIGNS,WHO_INTRAPARTUM_2018
labour_09,labour,routine,"I keep getting these tightenings on and off but they stop when I lie down, is that normal","NHS_LABOUR_SIGNS: Braxton Hicks ""may feel uncomfortable, but are usually painless... do not last that long, do not happen very frequently""","irregular, infrequent, painless/mild -- Braxton-Hicks-consistent, not latent-phase-onset",NHS_LABOUR_SIGNS,WHO_INTRAPARTUM_2018
labour_10,labour,routine,"My belly goes hard every now and then but it doesn't really hurt, should I be worried","NHS_LABOUR_SIGNS: Braxton Hicks ""may feel uncomfortable, but are usually painless... do not last that long, do not happen very frequently""","irregular, infrequent, painless/mild -- Braxton-Hicks-consistent, not latent-phase-onset",NHS_LABOUR_SIGNS,WHO_INTRAPARTUM_2018
postnatal_01,postnatal,urgent,It's been three weeks and I still feel completely hopeless,"WHO_POSTNATAL_2022: ""Screening for postpartum depression and anxiety using a validated instrument is recommended""; NHS_BABY_BLUES: ""if it continues, gets worse or you're struggling to cope..."" (escalation past the blues window)",duration exceeds 2-week blues window (explicit weeks stated) + persistent low mood,NHS_BABY_BLUES,WHO_POSTNATAL_2022
postnatal_02,postnatal,urgent,It's been a month since the birth and I still can't shake this feeling of dread,"WHO_POSTNATAL_2022: ""Screening for postpartum depression and anxiety using a validated instrument is recommended""; NHS_BABY_BLUES: ""if it continues, gets worse or you're struggling to cope..."" (escalation past the blues window)",duration exceeds 2-week blues window (explicit weeks stated) + persistent low mood,NHS_BABY_BLUES,WHO_POSTNATAL_2022
postnatal_03,postnatal,urgent,I've felt this low for three weeks straight now and it's not lifting,"WHO_POSTNATAL_2022: ""Screening for postpartum depression and anxiety using a validated instrument is recommended""; NHS_BABY_BLUES: ""if it continues, gets worse or you're struggling to cope..."" (escalation past the blues window)",duration exceeds 2-week blues window (explicit weeks stated) + persistent low mood,NHS_BABY_BLUES,WHO_POSTNATAL_2022
postnatal_04,postnatal,urgent,"It's week four and I still feel numb about the baby, nothing has improved","WHO_POSTNATAL_2022: ""Screening for postpartum depression and anxiety using a validated instrument is recommended""; NHS_BABY_BLUES: ""if it continues, gets worse or you're struggling to cope..."" (escalation past the blues window)",duration exceeds 2-week blues window (explicit weeks stated) + persistent low mood,NHS_BABY_BLUES,WHO_POSTNATAL_2022
postnatal_05,postnatal,urgent,I still feel like this most days and it's been way longer than anyone said it should last,"WHO_POSTNATAL_2022: ""Screening for postpartum depression and anxiety using a validated instrument is recommended""; NHS_BABY_BLUES: ""if it continues, gets worse or you're struggling to cope..."" (escalation past the blues window)","duration exceeds 2-week blues window (colloquial, relative to the stated norm) + persistent low mood",NHS_BABY_BLUES,WHO_POSTNATAL_2022
postnatal_06,postnatal,urgent,"it's not going away like everyone said it would, and honestly it's getting harder, not easier","WHO_POSTNATAL_2022: ""Screening for postpartum depression and anxiety using a validated instrument is recommended""; NHS_BABY_BLUES: ""if it continues, gets worse or you're struggling to cope..."" (escalation past the blues window)","duration exceeds 2-week blues window (colloquial, relative to the stated norm) + persistent low mood",NHS_BABY_BLUES,WHO_POSTNATAL_2022
postnatal_07,postnatal,urgent,I keep waiting to feel like myself again but it's been going on way past when it should have stopped,"WHO_POSTNATAL_2022: ""Screening for postpartum depression and anxiety using a validated instrument is recommended""; NHS_BABY_BLUES: ""if it continues, gets worse or you're struggling to cope..."" (escalation past the blues window)","duration exceeds 2-week blues window (colloquial, relative to the stated norm) + persistent low mood",NHS_BABY_BLUES,WHO_POSTNATAL_2022
postnatal_08,postnatal,urgent,this heaviness hasn't lifted at all and it's been way more than a couple of weeks now,"WHO_POSTNATAL_2022: ""Screening for postpartum depression and anxiety using a validated instrument is recommended""; NHS_BABY_BLUES: ""if it continues, gets worse or you're struggling to cope..."" (escalation past the blues window)","duration exceeds 2-week blues window (colloquial, relative to the stated norm) + persistent low mood",NHS_BABY_BLUES,WHO_POSTNATAL_2022
