query_id,encoder,chunk_set,rank,score,chunk_id,document_id,stance,care_phase,label,topic,urgency_class,query_text
pph_01,e5-base,fixed_300,1,0.8155,WHO_POSTNATAL_2022__fixed_300__0912,WHO_POSTNATAL_2022,neutral,background,OutOfScope,pph,urgent,I delivered an hour ago and I'm soaking two pads every hour
pph_01,e5-base,fixed_300,2,0.8112,WHO_INTRAPARTUM_2018__fixed_300__2077,WHO_INTRAPARTUM_2018,neutral,background,OutOfScope,pph,urgent,I delivered an hour ago and I'm soaking two pads every hour
pph_01,e5-base,fixed_300,3,0.8103,KE_MNH_STANDARDS_2023__fixed_300__1665,KE_MNH_STANDARDS_2023,neutral,background,Suboptimal,pph,urgent,I delivered an hour ago and I'm soaking two pads every hour
pph_01,e5-base,fixed_300,4,0.8097,WHO_POSTNATAL_2022__fixed_300__0486,WHO_POSTNATAL_2022,neutral,recovery,OutOfScope,pph,urgent,I delivered an hour ago and I'm soaking two pads every hour
pph_01,e5-base,fixed_300,5,0.8081,KE_MNH_STANDARDS_2023__fixed_300__1513,KE_MNH_STANDARDS_2023,neutral,background,Suboptimal,pph,urgent,I delivered an hour ago and I'm soaking two pads every hour
pph_02,e5-base,fixed_300,1,0.8181,NHS_POSTNATAL__fixed_300__0019,NHS_POSTNATAL,neutral,background,Suboptimal,pph,urgent,I gave birth this morning and I've already gone through six pads
pph_02,e5-base,fixed_300,2,0.8114,KE_OBSTETRICS_2021__fixed_300__1665,KE_OBSTETRICS_2021,neutral,background,Suboptimal,pph,urgent,I gave birth this morning and I've already gone through six pads
pph_02,e5-base,fixed_300,3,0.8079,NHS_LABOUR_SIGNS__fixed_300__0024,NHS_LABOUR_SIGNS,neutral,background,OutOfScope,pph,urgent,I gave birth this morning and I've already gone through six pads
pph_02,e5-base,fixed_300,4,0.8069,KE_MNH_STANDARDS_2023__fixed_300__0918,KE_MNH_STANDARDS_2023,neutral,recognition,Suboptimal,pph,urgent,I gave birth this morning and I've already gone through six pads
pph_02,e5-base,fixed_300,5,0.8063,NHS_POSTNATAL__fixed_300__0011,NHS_POSTNATAL,neutral,recovery,Suboptimal,pph,urgent,I gave birth this morning and I've already gone through six pads
pph_03,e5-base,fixed_300,1,0.8499,ACOG_POSTPARTUM_CONDITIONS__fixed_300__0012,ACOG_POSTPARTUM_CONDITIONS,neutral,recovery,Suboptimal,pph,urgent,"I'm still bleeding heavily twelve hours after the birth, soaking a pad in under an hour"
pph_03,e5-base,fixed_300,2,0.8381,NHS_POSTNATAL__fixed_300__0011,NHS_POSTNATAL,neutral,recovery,Suboptimal,pph,urgent,"I'm still bleeding heavily twelve hours after the birth, soaking a pad in under an hour"
pph_03,e5-base,fixed_300,3,0.8354,NHS_LABOUR_SIGNS__fixed_300__0020,NHS_LABOUR_SIGNS,neutral,background,OutOfScope,pph,urgent,"I'm still bleeding heavily twelve hours after the birth, soaking a pad in under an hour"
pph_03,e5-base,fixed_300,4,0.8335,WHO_POSTNATAL_2022__fixed_300__0485,WHO_POSTNATAL_2022,neutral,recovery,OutOfScope,pph,urgent,"I'm still bleeding heavily twelve hours after the birth, soaking a pad in under an hour"
pph_03,e5-base,fixed_300,5,0.8334,KE_OBSTETRICS_2021__fixed_300__3266,KE_OBSTETRICS_2021,neutral,background,Suboptimal,pph,urgent,"I'm still bleeding heavily twelve hours after the birth, soaking a pad in under an hour"
pph_04,e5-base,fixed_300,1,0.8147,WHO_INTRAPARTUM_2018__fixed_300__1271,WHO_INTRAPARTUM_2018,neutral,background,OutOfScope,pph,urgent,It's been two hours since delivery and I'm passing large clots with every pad change
pph_04,e5-base,fixed_300,2,0.8143,KE_MNH_STANDARDS_2023__fixed_300__1513,KE_MNH_STANDARDS_2023,neutral,background,Suboptimal,pph,urgent,It's been two hours since delivery and I'm passing large clots with every pad change
pph_04,e5-base,fixed_300,3,0.8143,KE_MNH_STANDARDS_2023__fixed_300__1410,KE_MNH_STANDARDS_2023,neutral,background,Suboptimal,pph,urgent,It's been two hours since delivery and I'm passing large clots with every pad change
pph_04,e5-base,fixed_300,4,0.8129,ACOG_POSTPARTUM_CONDITIONS__fixed_300__0012,ACOG_POSTPARTUM_CONDITIONS,neutral,recovery,Suboptimal,pph,urgent,It's been two hours since delivery and I'm passing large clots with every pad change
pph_04,e5-base,fixed_300,5,0.8112,WHO_INTRAPARTUM_2018__fixed_300__1351,WHO_INTRAPARTUM_2018,neutral,background,OutOfScope,pph,urgent,It's been two hours since delivery and I'm passing large clots with every pad change
pph_05,e5-base,fixed_300,1,0.8069,KE_OBSTETRICS_2021__fixed_300__2058,KE_OBSTETRICS_2021,neutral,background,Suboptimal,pph,urgent,the blood is soaking through everything and it's not slowing down
pph_05,e5-base,fixed_300,2,0.8061,KE_MNH_STANDARDS_2023__fixed_300__1665,KE_MNH_STANDARDS_2023,neutral,background,Suboptimal,pph,urgent,the blood is soaking through everything and it's not slowing down
pph_05,e5-base,fixed_300,3,0.8017,KE_OBSTETRICS_2021__fixed_300__2457,KE_OBSTETRICS_2021,neutral,treatment,Suboptimal,pph,urgent,the blood is soaking through everything and it's not slowing down
pph_05,e5-base,fixed_300,4,0.7988,KE_MNH_STANDARDS_2023__fixed_300__1636,KE_MNH_STANDARDS_2023,neutral,background,Suboptimal,pph,urgent,the blood is soaking through everything and it's not slowing down
pph_05,e5-base,fixed_300,5,0.7982,KE_MNH_STANDARDS_2023__fixed_300__1727,KE_MNH_STANDARDS_2023,neutral,background,Suboptimal,pph,urgent,the blood is soaking through everything and it's not slowing down
pph_06,e5-base,fixed_300,1,0.7599,WHO_POSTNATAL_2022__fixed_300__1669,WHO_POSTNATAL_2022,neutral,background,OutOfScope,pph,urgent,I keep having to change everything because it just keeps coming
pph_06,e5-base,fixed_300,2,0.7542,NHS_BABY_BLUES__fixed_300__0029,NHS_BABY_BLUES,neutral,background,OutOfScope,pph,urgent,I keep having to change everything because it just keeps coming
pph_06,e5-base,fixed_300,3,0.7436,KE_MCH_HANDBOOK__fixed_300__0162,KE_MCH_HANDBOOK,neutral,background,Suboptimal,pph,urgent,I keep having to change everything because it just keeps coming
pph_06,e5-base,fixed_300,4,0.7418,WHO_PPH_2025__fixed_300__1049,WHO_PPH_2025,neutral,acute,Suboptimal,pph,urgent,I keep having to change everything because it just keeps coming
