document_id,filename,title,publisher,document_type,audience,country,year,topics,url,notes
WHO_PPH_2025,WHO_PPH_2025.pdf,"Consolidated guidelines for the prevention, diagnosis and treatment of postpartum haemorrhage",WHO,guideline,clinician,Global,2025,pph,https://www.who.int/publications/i/item/9789240115637,"WHO+FIGO+ICM joint, 51 recommendations. Supersedes older PPH guidance."
WHO_PRE_2011,WHO_PRE_2011.pdf,WHO recommendations for prevention and treatment of pre-eclampsia and eclampsia,WHO,guideline,clinician,Global,2011,hypertension,https://www.who.int/publications/i/item/9789241548335,Base guideline. Has 2018/2020/2021 updates - fetch those too.
WHO_INTRAPARTUM_2018,WHO_INTRAPARTUM_2018.pdf,WHO recommendations: intrapartum care for a positive childbirth experience,WHO,guideline,clinician,Global,2018,labour,https://iris.who.int/server/api/core/bitstreams/7e9a5c8e-4bcc-4eb7-af5f-3381d52e0382/content,
WHO_POSTNATAL_2022,WHO_POSTNATAL_2022.pdf,WHO recommendations on maternal and newborn care for a positive postnatal experience,WHO,guideline,clinician,Global,2022,postnatal,https://www.ncbi.nlm.nih.gov/books/NBK579653/,Birth to 6 weeks. Includes perinatal mental health.
WHO_SEPSIS_2015,WHO_SEPSIS_2015.pdf,WHO recommendations for prevention and treatment of maternal peripartum infections,WHO,guideline,clinician,Global,2015,sepsis,SEARCH WHO IRIS - verify current version before downloading,Replaces the law-firm infection docs. VERIFY there is no newer edition.
KE_OBSTETRICS_2021,KE_OBSTETRICS_2021.pdf,National Guidelines on Quality Obstetrics and Perinatal Care,Kenya MoH,guideline,clinician,Kenya,2021,pph;hypertension;sepsis;labour;postnatal,https://repository.familyhealth.go.ke/xmlui/handle/123456789/60,SPANS ALL 5 TOPICS - this is why we don't use topic folders. 2021 > the 2015 you had.
KE_MNH_STANDARDS_2023,KE_MNH_STANDARDS_2023.pdf,Maternal and Newborn Health Standards,Kenya MoH,standard,clinician,Kenya,2023,pph;hypertension;sepsis;labour;postnatal,https://repository.familyhealth.go.ke/xmlui/handle/123456789/60,Also spans all topics.
KE_MCH_HANDBOOK,KE_MCH_HANDBOOK.pdf,Mother and Child Health Handbook,Kenya MoH,patient_education,patient,Kenya,2020,pph;hypertension;sepsis;labour;postnatal,https://health.go.ke/sites/default/files/2023-05/Mother%20Child%20Health%20Handbook%20MOH-FOR%20PRINT.pdf,MIXED: You already had this URL. Local + patient-facing = important.
CDC_HEAR_HER,CDC_HEAR_HER.pdf,Hear Her: Urgent Maternal Warning Signs,CDC,patient_education,patient,USA,2024,pph;hypertension;sepsis;postnatal,https://www.cdc.gov/hearher/resources/download-share/docs/pdf/Warning-Signs-Poster-LTR-English.pdf,ALARM: You already had this. The 'alarm' voice.
NHS_POSTNATAL,NHS_POSTNATAL.pdf,Your Body After the Birth,NHS,patient_education,patient,UK,2024,pph;postnatal,https://www.nhs.uk/pregnancy/labour-and-birth/your-body/,REASSURE: lochia is normal
NHS_SWELLING,NHS_SWELLING.pdf,"Swollen ankles, feet and fingers in pregnancy",NHS,patient_education,patient,UK,2024,hypertension,https://www.nhs.uk/pregnancy/common-symptoms/swollen-ankles-feet-and-fingers/,REASSURE: swelling is normal
NHS_LABOUR_SIGNS,NHS_LABOUR_SIGNS.pdf,Signs that labour has begun,NHS,patient_education,patient,UK,2024,labour,https://www.nhs.uk/pregnancy/labour-and-birth/signs-of-labour/signs-that-labour-has-begun/,REASSURE: Braxton Hicks are normal
NHS_BABY_BLUES,NHS_BABY_BLUES.pdf,Feeling depressed after childbirth,NHS,patient_education,patient,UK,2024,postnatal,SEARCH nhs.uk - verify URL,REASSURE: baby blues pass in 2 weeks
ACOG_POSTPARTUM_CONDITIONS,ACOG_POSTPARTUM_CONDITIONS.pdf,3 Conditions to Watch for After Childbirth,ACOG,patient_education,patient,USA,2026,pph;hypertension;sepsis,https://www.acog.org/womens-health/experts-and-stories/the-latest/3-conditions-to-watch-for-after-childbirth,"ALARM. Archived as static PDF snapshot 2026-07-23 (source is a web article, not a native PDF); text verbatim from live page at retrieval time. Last reviewed by ACOG Feb 2026. Replaces UNICEF_DANGER_SIGNS (Timor-Leste poster/infographic; extraction was dominated by decorative watermark text, not usable clinical content). Contains one reassuring caveat line on lochia alongside predominantly alarm-toned content."
